Solver,SeqSOR,CGSolver,BiCGSTABSolver,LoopSolver,SeqGS,GradientSolver,Precon,cells,post,pre,performance
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,54.0,5.0,1.0,11265.485714285713
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,53.0,4.0,3.0,9883.890357142856
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,50.0,5.0,4.0,6610.518928571428
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52.0,6.0,0.0,7435.688928571426
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,53.0,3.0,3.0,10056.926428571429
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,54.0,1.0,1.0,14143.63928571429
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,55.0,5.0,4.0,11726.953571428572
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.0,0.0,1.0,16783.885714285716
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,50.0,3.0,1.0,8795.108214285716
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54.0,5.0,5.0,7640.625357142858
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,55.0,6.0,1.0,7958.739999999998
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,53.0,4.0,0.0,10802.364285714284
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,51.0,2.0,1.0,6867.651428571429
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,50.0,3.0,2.0,8872.176071428568
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,52.0,2.0,1.0,9805.199642857144
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,52.0,4.0,5.0,10486.157142857144
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,51.0,5.0,6.0,6837.88607142857
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,53.0,1.0,0.0,22299.70357142857
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,55.0,1.0,5.0,14562.467857142854
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54.0,6.0,3.0,7818.4071428571415
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,54.0,3.0,1.0,10409.453571428574
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,55.0,4.0,2.0,11676.982142857145
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,5.0,1.0,11257.614285714284
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,55.0,0.0,1.0,23177.10714285714
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,52.0,2.0,0.0,12169.199999999999
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,2.0,0.0,9772.779285714283
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,53.0,2.0,0.0,10826.932142857142
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,0.0,24028.20357142857
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.0,5.0,5.0,6927.4289285714285
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,55.0,2.0,1.0,11633.653571428571
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,53.0,5.0,4.0,9905.072142857145
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,53.0,3.0,3.0,10826.496428571427
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,55.0,0.0,5.0,14520.971428571429
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,52.0,2.0,5.0,10590.050000000001
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,50.0,2.0,1.0,8919.204642857141
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,55.0,0.0,3.0,17558.585714285713
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,51.0,1.0,0.0,14992.378571428575
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,55.0,3.0,3.0,10639.210714285715
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,5.0,5.0,7214.219285714286
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,52.0,6.0,2.0,7308.233214285713
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,51.0,5.0,0.0,10108.161071428573
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.0,6.0,4.0,7429.706071428572
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,54.0,6.0,3.0,10194.514285714284
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,50.0,6.0,6.0,6831.62
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52.0,3.0,3.0,9742.049285714284
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54.0,4.0,3.0,10614.732142857145
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,54.0,1.0,0.0,30644.571428571428
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,54.0,2.0,4.0,11187.917857142855
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,51.0,2.0,1.0,10018.908214285717
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,1.0,1.0,11102.321428571431
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0,3.0,5.0,7626.6332142857145
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.0,4.0,6.0,9796.393214285714
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,5.0,3.0,7818.220357142856
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0,5.0,2.0,7605.792142857143
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.0,5.0,4.0,7286.390357142857
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,53.0,0.0,5.0,14824.09642857143
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,55.0,5.0,0.0,10566.86071428571
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,55.0,5.0,0.0,11634.092857142854
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,4.0,1.0,10625.592857142856
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,55.0,5.0,0.0,11631.503571428575
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,54.0,0.0,4.0,15478.739285714288
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,55.0,0.0,2.0,18612.925
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,3.0,4.0,10482.296428571426
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,52.0,6.0,5.0,7479.9975
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,6.0,2.0,7893.027857142857
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,55.0,3.0,6.0,10633.114285714288
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,4.0,12111.321428571426
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,52.0,2.0,0.0,9602.479285714286
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,51.0,2.0,0.0,11420.835714285715
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.0,1.0,5.0,9100.629285714285
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52.0,1.0,5.0,9757.888571428572
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,53.0,4.0,4.0,10003.841428571428
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,51.0,4.0,0.0,6884.062142857144
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,50.0,0.0,5.0,6713.296071428571
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,0.0,4.0,7303.246428571428
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,1.0,6.0,11234.460714285717
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,52.0,6.0,1.0,7274.241785714286
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54.0,3.0,6.0,7669.565714285714
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,6.0,4.0,8222.682857142854
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,4.0,3.0,9677.890357142858
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,54.0,2.0,3.0,10333.800000000001
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,51.0,2.0,5.0,7644.741071428571
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,53.0,1.0,3.0,13598.42857142857
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,53.0,3.0,0.0,10214.850714285714
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,54.0,3.0,2.0,10300.5
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,53.0,6.0,5.0,10829.107142857143
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,4.0,5.0,6669.8674999999985
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,55.0,4.0,0.0,11601.69285714286
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,50.0,4.0,0.0,9826.567142857142
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,53.0,3.0,4.0,10966.385714285716
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,53.0,1.0,0.0,12337.825
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.0,0.0,5.0,11482.782142857139
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,4.0,12523.300000000001
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.0,3.0,1.0,7312.147857142857
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,55.0,2.0,1.0,10562.510714285716
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,50.0,4.0,5.0,8791.951071428572
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,51.0,0.0,5.0,9219.008214285715
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,2.0,3.0,11202.446428571426
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,54.0,1.0,6.0,11309.207142857142
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,54.0,0.0,4.0,15293.221428571425
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,52.0,2.0,3.0,10485.417857142855
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,4.0,1.0,7210.2410714285725
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,54.0,2.0,5.0,11262.850000000002
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,54.0,0.0,2.0,16810.97142857143
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,52.0,2.0,3.0,9541.009285714286
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,51.0,3.0,0.0,9131.808928571427
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,1.0,0.0,22407.632142857135
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,50.0,2.0,6.0,8846.367142857143
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,55.0,5.0,5.0,10549.214285714288
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.0,4.0,0.0,9123.343214285715
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0,6.0,4.0,7625.390357142855
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,53.0,3.0,4.0,9841.75392857143
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0,1.0,5.0,10032.178928571428
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,52.0,1.0,0.0,19297.95357142857
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.0,2.0,0.0,9646.160357142857
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,1.0,6.0,10685.253571428571
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,52.0,2.0,4.0,9888.01857142857
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,51.0,4.0,6.0,6893.9875
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,53.0,0.0,4.0,12314.210714285713
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,55.0,4.0,5.0,10611.689285714285
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,52.0,3.0,3.0,10519.596428571427
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,6.0,3.0,7206.391428571427
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,50.0,2.0,6.0,9650.707857142857
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,6.0,3.0,7261.772142857143
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.0,6.0,0.0,6950.106071428573
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,54.0,4.0,5.0,11211.185714285715
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,50.0,4.0,0.0,8752.993214285712
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,53.0,6.0,0.0,10882.92857142857
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,53.0,0.0,6.0,13489.067857142854
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,52.0,5.0,0.0,7943.976785714285
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,55.0,1.0,5.0,10708.682142857142
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,54.0,1.0,6.0,14082.460714285715
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,5.0,2.0,11269.842857142858
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,51.0,1.0,6.0,7668.067142857141
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,54.0,4.0,0.0,11294.982142857145
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,50.0,2.0,3.0,9661.805000000004
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,3.0,0.0,11219.30357142857
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,50.0,1.0,1.0,11001.096428571427
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0,1.0,0.0,19957.067857142854
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52.0,6.0,6.0,7407.595000000001
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,53.0,1.0,3.0,10010.391071428572
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,4.0,5.0,10042.556071428571
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,52.0,5.0,5.0,10494.314285714287
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,54.0,5.0,1.0,10385.996428571432
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,4.0,0.0,11245.514285714284
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,54.0,4.0,4.0,10212.689285714287
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,2.0,5.0,8774.999285714288
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.0,4.0,1.0,7265.192142857141
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,53.0,1.0,2.0,10844.342857142858
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52.0,0.0,6.0,9797.427500000002
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.0,4.0,0.0,7270.348928571429
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.0,3.0,4.0,9725.628928571428
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,53.0,4.0,3.0,10207.74107142857
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,50.0,2.0,1.0,4422.172142857142
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,55.0,2.0,4.0,11742.775000000003
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,4.0,0.0,10478.160714285716
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,6.0,3.0,8476.712142857143
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,54.0,1.0,5.0,10406.028571428571
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,55.0,3.0,0.0,10613.828571428572
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.0,4.0,5.0,7234.396071428572
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,50.0,0.0,5.0,12077.692857142858
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,50.0,4.0,1.0,9633.61607142857
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,0.0,2.0,9782.72107142857
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,53.0,6.0,2.0,10785.642857142857
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,53.0,4.0,6.0,7564.95642857143
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,54.0,6.0,1.0,11243.674999999997
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,54.0,5.0,4.0,10239.614285714286
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,51.0,0.0,4.0,9564.535
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,51.0,6.0,0.0,9997.685000000001
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,55.0,1.0,2.0,14508.825
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,53.0,2.0,5.0,10824.607142857145
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,51.0,1.0,3.0,10107.5275
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,55.0,5.0,3.0,11635.971428571427
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,54.0,4.0,6.0,10369.07142857143
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,55.0,3.0,0.0,11645.692857142858
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,1.0,3.0,10674.835714285713
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,54.0,1.0,5.0,12881.475000000002
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,50.0,6.0,1.0,6647.824642857144
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,54.0,1.0,3.0,12802.132142857141
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,55.0,1.0,2.0,14543.028571428573
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,5.0,5.0,8250.779642857144
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52.0,1.0,0.0,19209.41785714286
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,55.0,4.0,2.0,10591.30714285714
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,55.0,5.0,0.0,10588.753571428571
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,51.0,1.0,6.0,9188.268928571428
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,53.0,1.0,5.0,10849.942857142856
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.0,5.0,0.0,9104.079999999998
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,52.0,5.0,5.0,7328.257857142856
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,55.0,5.0,2.0,10725.035714285712
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,55.0,6.0,0.0,11638.635714285714
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,52.0,4.0,2.0,9765.267142857143
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,51.0,6.0,3.0,9166.829285714284
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54.0,6.0,2.0,7771.373571428571
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,54.0,3.0,6.0,11298.660714285716
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,4.0,5.0,9639.533928571429
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52.0,0.0,2.0,12435.092857142856
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,50.0,1.0,2.0,8892.2525
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,52.0,6.0,6.0,7203.802142857144
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,0.0,1.0,11118.817857142858
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,53.0,4.0,3.0,10837.399999999998
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,6.0,6.0,6690.715357142857
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,52.0,1.0,6.0,9528.759642857141
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,55.0,1.0,6.0,10563.278571428571
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,5.0,6.0,7289.836785714286
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,53.0,3.0,4.0,9903.713928571431
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,53.0,2.0,4.0,9963.192857142858
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,0.0,4.0,13656.06785714286
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,52.0,3.0,1.0,10548.29285714286
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.0,0.0,2.0,11409.235714285713
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.0,6.0,1.0,6866.978928571427
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,52.0,1.0,1.0,13142.107142857145
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,55.0,5.0,3.0,11626.80357142857
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,53.0,0.0,3.0,13480.65357142857
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,51.0,3.0,6.0,9986.335714285711
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,53.0,0.0,6.0,13583.10357142857
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,55.0,1.0,3.0,11651.160714285716
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,53.0,6.0,3.0,10913.05
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,4.0,3.0,8241.100714285714
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,2.0,2.0,7246.22857142857
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.0,3.0,4.0,6850.206071428569
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,50.0,4.0,6.0,9031.662142857143
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,5.0,0.0,11291.714285714284
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,50.0,6.0,5.0,6760.6792857142855
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,51.0,1.0,5.0,7023.923928571428
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,54.0,3.0,5.0,10259.324999999999
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,55.0,5.0,3.0,7943.472857142857
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,55.0,6.0,0.0,10604.282142857146
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,53.0,3.0,3.0,9933.668214285713
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,51.0,4.0,1.0,10155.850357142857
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,54.0,4.0,5.0,10387.192857142856
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52.0,4.0,2.0,9934.675
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,53.0,2.0,2.0,9895.980714285713
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,54.0,4.0,4.0,11267.732142857143
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,51.0,6.0,3.0,9968.723571428573
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52.0,2.0,3.0,9799.108214285714
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,55.0,2.0,5.0,10535.842857142858
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,52.0,6.0,3.0,7284.3099999999995
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,53.0,6.0,0.0,10804.928571428569
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,53.0,0.0,5.0,16139.242857142855
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,53.0,4.0,6.0,10816.32857142857
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,52.0,5.0,2.0,10607.560714285713
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,55.0,2.0,6.0,11635.628571428571
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,53.0,1.0,6.0,10809.757142857141
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,54.0,4.0,1.0,11255.067857142858
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,50.0,0.0,4.0,11059.235714285716
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,55.0,1.0,3.0,13195.414285714289
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,55.0,1.0,1.0,14887.460714285715
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,3.0,1.0,9645.074285714285
