HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PS1K,PS4K,PS8K,PS16K,PS32K,CS32MB,CS16MB,CS64MB,CS512MB,PERF
0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0.389726868
1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,10.91923203
0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0.525368514
1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,10.73624426
0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0.523887282
1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,10.75169618
0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0.772978359
0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0.749788868
1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,10.92837103
1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,10.89037103
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.483833179
1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,3.237451462
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,10.73149939
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.750755282
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,10.92207521
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0.496748103
0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0.752121974
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,10.73348167
1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,10.90934866
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.502955744
1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,10.73193179
0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.497178359
0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.366015632
1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,2.023702684
1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,10.73315821
0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.764017333
0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.748330868
1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,10.90138211
1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,10.91780143
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.508836513
1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,10.72231651
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.779261737
1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,10.92486097
0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0.515042821
1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,3.283354436
0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0.773130256
1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,10.71312346
1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,10.93485472
0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0.512857421
1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,10.73352554
0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0.518937526
1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,10.7103387
0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0.782204051
0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0.776812256
1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,10.93809179
1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,2.086284487
1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,10.9039715
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.498174769
1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,10.73721177
0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.741715184
1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,10.89870561
0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0.500193658
0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0.751243436
1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,10.73775195
1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,10.93090467
0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0.512931205
0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0.527278368
1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,10.73662118
0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0.518000051
1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,10.73738379
0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0.753693179
0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0.759619737
1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,10.91765413
1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,10.92284295
0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0.501553641
1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,10.73467531
0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0.746494135
0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0.579977897
1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,10.90408074
0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0.520934615
0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0.75767641
1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,10.71357062
1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,10.92321956
0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0.493411846
1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,10.72132746
0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0.521399385
1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,10.729516
0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0.749623897
1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,3.232799051
0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0.753422184
1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,10.911433
1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,10.90747739
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.482040053
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10.75294845
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.749533179
1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10.91721995
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.499727368
0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.752133744
1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10.74956118
1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,3.271027282
1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10.91687084
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.513024263
1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,10.72218679
0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0.498736763
1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,10.73939728
0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.754040923
0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0.752175923
1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,10.89609049
1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,10.90256156
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.501874769
0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0.521600342
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,10.72518838
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.732406632
1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,10.88968562
0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0.498927923
0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0.742831667
1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,10.74104331
1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,10.89773218
0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0.506829256
1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,10.73048192
0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0.496938821
1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,3.212456513
1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,10.71889763
0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0.747610718
0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0.747630842
1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,10.92263558
1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,10.90660771
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.485087263
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,10.74310623
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.750367103
1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,10.91928708
0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0.497007632
0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0.583330769
0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0.753075641
1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,10.73007592
1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,10.91302646
0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.500549872
1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,10.73576885
0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0.501923923
1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,10.73449921
0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.74442559
0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0.748962718
1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,10.89816197
0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0.390812231
1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,3.285266231
1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,10.93388562
0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0.505856436
1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,10.73222956
0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0.760084872
1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,10.89938603
0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0.503539667
0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0.745916
1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,10.73052954
1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,10.90354872
0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0.498735395
0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0.362926205
1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,10.73134482
0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0.494166077
1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,10.72144677
0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0.749269077
0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0.751130744
1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,10.91825516
1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,10.91842049
0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.506797
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,10.73302487
0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.773078231
0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0.385507128
1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,10.93758497
0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0.510030538
0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0.774185282
1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,10.73383923
1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,10.91078935
0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0.520637447
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,10.72372408
0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0.515265184
1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,10.72662653
0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0.774959179
0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0.373442538
0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0.776731538
1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,10.9580576
1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,10.93680792
0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0.506535789
1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,10.71307279
0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0.776654432
1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,10.92307914
0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0.514011079
0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0.773951737
1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,10.71813597
0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0.401878026
1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,10.93730717
0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0.512260359
1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,10.73227936
0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0.519947308
1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,10.71331531
0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0.782150718
0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0.776519846
1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,10.93798633
1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,10.90887168
0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.511390282
1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,2.03072559
1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,10.70031926
0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.752171359
1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,10.89621785
0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0.518244974
0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0.765242385
1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,10.70652703
1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,10.91147454
0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0.513113641
1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,10.73574549
0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0.516918846
1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,2.041645103
1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,10.73250715
0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0.751894184
0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0.754568615
1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,10.91237077
1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,10.91980451
0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0.520639947
1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,10.6980869
0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0.754889385
1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,10.93873608
0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0.523184026
1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,2.060584103
0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0.756590103
1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,10.74009149
1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,10.96258695
0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0.523466026
1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,10.77014097
0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0.520984359
1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,10.74816197
0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0.754704487
0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0.759354821
1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,10.9246781
1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,2.077240359
1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,10.93052184
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.485591615
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.753564462
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.500295359
0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.752372692
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.512697487
0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.497566231
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.768409359
0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.749137895
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.508784917
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5044075
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.73776841
0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0.504606316
0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0.745940897
0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0.506420026
0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.498653718
0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0.750750051
0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.75106541
0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.51007441
0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.776393974
0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0.512058282
1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3.260884308
0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0.582306231
0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0.781869395
0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0.515010154
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0.520198128
0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0.75858445
0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0.769152179
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0.527702744
0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0.775488487
0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0.521501179
0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0.760143128
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0.520250513
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.251999359
0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0.526041128
0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0.775146667
0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0.74718541
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.78138277
1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.92122184
1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,10.76879526
1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,10.9212017
1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,10.72285969
1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,10.73536044
1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,10.91570532
1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3.301858
1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,10.92807113
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,10.75135367
1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,10.93500403
